4_0.2_0.2_0.2,0.0944754
4_0.2_0.2_0.4,0.0890105
4_0.2_0.2_0.6,0.0723539
4_0.2_0.2_0.8,0.0609245
4_0.2_0.4_0.2,0.0936539
4_0.2_0.4_0.4,0.0754633
4_0.2_0.4_0.6,0.0553904
4_0.2_0.4_0.8,0.0521036
4_0.2_0.6_0.2,0.0888083
4_0.2_0.6_0.4,0.0560089
4_0.2_0.6_0.6,0.0492019
4_0.2_0.6_0.8,0.0486257
4_0.2_0.8_0.2,0.0590715
4_0.2_0.8_0.4,0.0486279
4_0.2_0.8_0.6,0.0467982
4_0.2_0.8_0.8,0.0463797
4_0.4_0.2_0.2,0.0541924
4_0.4_0.2_0.4,0.048433
4_0.4_0.2_0.6,0.046783
4_0.4_0.2_0.8,0.0462494
4_0.4_0.4_0.2,0.0496661
4_0.4_0.4_0.4,0.0479412
4_0.4_0.4_0.6,0.0464903
4_0.4_0.4_0.8,0.0443389
4_0.4_0.6_0.2,0.048867
4_0.4_0.6_0.4,0.0463313
4_0.4_0.6_0.6,0.0385147
4_0.4_0.6_0.8,0.0374246
4_0.4_0.8_0.2,0.0431112
4_0.4_0.8_0.4,0.0424661
4_0.4_0.8_0.6,0.0418046
4_0.4_0.8_0.8,0.0395752
4_0.6_0.2_0.2,0.0479462
4_0.6_0.2_0.4,0.0475096
4_0.6_0.2_0.6,0.0472324
4_0.6_0.2_0.8,0.0373665
4_0.6_0.4_0.2,0.0473551
4_0.6_0.4_0.4,0.0456001
4_0.6_0.4_0.6,0.0405002
4_0.6_0.4_0.8,0.0379411
4_0.6_0.6_0.2,0.0452725
4_0.6_0.6_0.4,0.0385275
4_0.6_0.6_0.6,0.036997
4_0.6_0.6_0.8,0.0360255
4_0.6_0.8_0.2,0.0409705
4_0.6_0.8_0.4,0.0368921
4_0.6_0.8_0.6,0.0354612
4_0.6_0.8_0.8,0.0344683
4_0.8_0.2_0.2,0.0431738
4_0.8_0.2_0.4,0.0375816
4_0.8_0.2_0.6,0.0364628
4_0.8_0.2_0.8,0.0365433
4_0.8_0.4_0.2,0.046683
4_0.8_0.4_0.4,0.0403611
4_0.8_0.4_0.6,0.0356711
4_0.8_0.4_0.8,0.0351055
4_0.8_0.6_0.2,0.0375723
4_0.8_0.6_0.4,0.0373135
4_0.8_0.6_0.6,0.0363903
4_0.8_0.6_0.8,0.033873
4_0.8_0.8_0.2,0.0371021
4_0.8_0.8_0.4,0.0346216
4_0.8_0.8_0.6,0.0313732
4_0.8_0.8_0.8,0.034675
6_0.2_0.2_0.2,0.0951118
6_0.2_0.2_0.4,0.087421
6_0.2_0.2_0.6,0.0690405
6_0.2_0.2_0.8,0.0554708
6_0.2_0.4_0.2,0.0934976
6_0.2_0.4_0.4,0.0739796
6_0.2_0.4_0.6,0.0565309
6_0.2_0.4_0.8,0.0510402
6_0.2_0.6_0.2,0.0857524
6_0.2_0.6_0.4,0.0542062
6_0.2_0.6_0.6,0.0497512
6_0.2_0.6_0.8,0.048787
6_0.2_0.8_0.2,0.0546698
6_0.2_0.8_0.4,0.0492578
6_0.2_0.8_0.6,0.0479889
6_0.2_0.8_0.8,0.0441863
6_0.4_0.2_0.2,0.0518499
6_0.4_0.2_0.4,0.0479404
6_0.4_0.2_0.6,0.0477992
6_0.4_0.2_0.8,0.046036
6_0.4_0.4_0.2,0.0501581
6_0.4_0.4_0.4,0.0470718
6_0.4_0.4_0.6,0.0452662
6_0.4_0.4_0.8,0.0427171
6_0.4_0.6_0.2,0.048125
6_0.4_0.6_0.4,0.046223
6_0.4_0.6_0.6,0.044082
6_0.4_0.6_0.8,0.0415784
6_0.4_0.8_0.2,0.0462778
6_0.4_0.8_0.4,0.0417461
6_0.4_0.8_0.6,0.036916
6_0.4_0.8_0.8,0.0355069
6_0.6_0.2_0.2,0.0478225
6_0.6_0.2_0.4,0.0412785
6_0.6_0.2_0.6,0.0382747
6_0.6_0.2_0.8,0.0371272
6_0.6_0.4_0.2,0.0464541
6_0.6_0.4_0.4,0.0385455
6_0.6_0.4_0.6,0.0370757
6_0.6_0.4_0.8,0.0365399
6_0.6_0.6_0.2,0.0450333
6_0.6_0.6_0.4,0.0374928
6_0.6_0.6_0.6,0.0346197
6_0.6_0.6_0.8,0.0322717
6_0.6_0.8_0.2,0.0403071
6_0.6_0.8_0.4,0.0373773
6_0.6_0.8_0.6,0.0338463
6_0.6_0.8_0.8,0.0325109
6_0.8_0.2_0.2,0.0435013
6_0.8_0.2_0.4,0.0389333
6_0.8_0.2_0.6,0.0368975
6_0.8_0.2_0.8,0.0361538
6_0.8_0.4_0.2,0.0397959
6_0.8_0.4_0.4,0.0370434
6_0.8_0.4_0.6,0.0360222
6_0.8_0.4_0.8,0.0353598
6_0.8_0.6_0.2,0.0388012
6_0.8_0.6_0.4,0.0369091
6_0.8_0.6_0.6,0.0319075
6_0.8_0.6_0.8,0.0311642
6_0.8_0.8_0.2,0.0364553
6_0.8_0.8_0.4,0.0332339
6_0.8_0.8_0.6,0.0313505
6_0.8_0.8_0.8,0.0315511
8_0.2_0.2_0.2,0.0945989
8_0.2_0.2_0.4,0.0829656
8_0.2_0.2_0.6,0.0638783
8_0.2_0.2_0.8,0.0540161
8_0.2_0.4_0.2,0.0929867
8_0.2_0.4_0.4,0.0682856
8_0.2_0.4_0.6,0.0533402
8_0.2_0.4_0.8,0.0505522
8_0.2_0.6_0.2,0.0792201
8_0.2_0.6_0.4,0.0540358
8_0.2_0.6_0.6,0.0501017
8_0.2_0.6_0.8,0.0493526
8_0.2_0.8_0.2,0.0541564
8_0.2_0.8_0.4,0.0493467
8_0.2_0.8_0.6,0.0478851
8_0.2_0.8_0.8,0.0437699
8_0.4_0.2_0.2,0.0542738
8_0.4_0.2_0.4,0.0491295
8_0.4_0.2_0.6,0.0482573
8_0.4_0.2_0.8,0.0471783
8_0.4_0.4_0.2,0.0502571
8_0.4_0.4_0.4,0.049012
8_0.4_0.4_0.6,0.042296
8_0.4_0.4_0.8,0.0394663
8_0.4_0.6_0.2,0.049062
8_0.4_0.6_0.4,0.0448435
8_0.4_0.6_0.6,0.0392853
8_0.4_0.6_0.8,0.0385024
8_0.4_0.8_0.2,0.0442166
8_0.4_0.8_0.4,0.0387933
8_0.4_0.8_0.6,0.0376154
8_0.4_0.8_0.8,0.0357896
8_0.6_0.2_0.2,0.0489385
8_0.6_0.2_0.4,0.0448571
8_0.6_0.2_0.6,0.041362
8_0.6_0.2_0.8,0.0395341
8_0.6_0.4_0.2,0.0474719
8_0.6_0.4_0.4,0.0424859
8_0.6_0.4_0.6,0.0429101
8_0.6_0.4_0.8,0.0400817
8_0.6_0.6_0.2,0.0447719
8_0.6_0.6_0.4,0.0395506
8_0.6_0.6_0.6,0.0363799
8_0.6_0.6_0.8,0.0354392
8_0.6_0.8_0.2,0.0401892
8_0.6_0.8_0.4,0.0368305
8_0.6_0.8_0.6,0.034252
8_0.6_0.8_0.8,0.0274874
8_0.8_0.2_0.2,0.0468575
8_0.8_0.2_0.4,0.0385308
8_0.8_0.2_0.6,0.0367938
8_0.8_0.2_0.8,0.0359412
8_0.8_0.4_0.2,0.0437222
8_0.8_0.4_0.4,0.036933
8_0.8_0.4_0.6,0.0357994
8_0.8_0.4_0.8,0.0344341
8_0.8_0.6_0.2,0.0422437
8_0.8_0.6_0.4,0.0373424
8_0.8_0.6_0.6,0.0353376
8_0.8_0.6_0.8,0.0314877
8_0.8_0.8_0.2,0.0352055
8_0.8_0.8_0.4,0.0341394
8_0.8_0.8_0.6,0.0316783
8_0.8_0.8_0.8,0.0306267
10_0.2_0.2_0.2,0.0943788
10_0.2_0.2_0.4,0.0811179
10_0.2_0.2_0.6,0.0621094
10_0.2_0.2_0.8,0.053192
10_0.2_0.4_0.2,0.0923944
10_0.2_0.4_0.4,0.0693732
10_0.2_0.4_0.6,0.0540823
10_0.2_0.4_0.8,0.0505706
10_0.2_0.6_0.2,0.0840616
10_0.2_0.6_0.4,0.0539764
10_0.2_0.6_0.6,0.0503344
10_0.2_0.6_0.8,0.0496741
10_0.2_0.8_0.2,0.0546674
10_0.2_0.8_0.4,0.0490628
10_0.2_0.8_0.6,0.0482525
10_0.2_0.8_0.8,0.0471488
10_0.4_0.2_0.2,0.0512435
10_0.4_0.2_0.4,0.0481062
10_0.4_0.2_0.6,0.0472482
10_0.4_0.2_0.8,0.0460241
10_0.4_0.4_0.2,0.0504215
10_0.4_0.4_0.4,0.0491978
10_0.4_0.4_0.6,0.0455164
10_0.4_0.4_0.8,0.0413584
10_0.4_0.6_0.2,0.0485429
10_0.4_0.6_0.4,0.0460254
10_0.4_0.6_0.6,0.0403208
10_0.4_0.6_0.8,0.03981
10_0.4_0.8_0.2,0.0470575
10_0.4_0.8_0.4,0.0392132
10_0.4_0.8_0.6,0.0377252
10_0.4_0.8_0.8,0.0363543
10_0.6_0.2_0.2,0.0484931
10_0.6_0.2_0.4,0.0463263
10_0.6_0.2_0.6,0.0441096
10_0.6_0.2_0.8,0.0392906
10_0.6_0.4_0.2,0.0471597
10_0.6_0.4_0.4,0.039838
10_0.6_0.4_0.6,0.0381833
10_0.6_0.4_0.8,0.0368164
10_0.6_0.6_0.2,0.0439468
10_0.6_0.6_0.4,0.0384222
10_0.6_0.6_0.6,0.0351665
10_0.6_0.6_0.8,0.0320883
10_0.6_0.8_0.2,0.0392441
10_0.6_0.8_0.4,0.0371979
10_0.6_0.8_0.6,0.0322758
10_0.6_0.8_0.8,0.0317244
10_0.8_0.2_0.2,0.047164
10_0.8_0.2_0.4,0.043908
10_0.8_0.2_0.6,0.0387116
10_0.8_0.2_0.8,0.0355202
10_0.8_0.4_0.2,0.0444058
10_0.8_0.4_0.4,0.0405201
10_0.8_0.4_0.6,0.0391633
10_0.8_0.4_0.8,0.0333236
10_0.8_0.6_0.2,0.039427
10_0.8_0.6_0.4,0.0362096
10_0.8_0.6_0.6,0.0351073
10_0.8_0.6_0.8,0.0323665
10_0.8_0.8_0.2,0.0378112
10_0.8_0.8_0.4,0.0322336
10_0.8_0.8_0.6,0.0308115
10_0.8_0.8_0.8,0.0316107
